frame,id,x_center,y_center,width,height
0,1,997.30054,1050.0801,32.30658,59.839844
0,2,474.43808,789.95557,29.47284,70.20795
0,3,1440.7373,803.89417,27.98584,64.1781
0,4,1117.7048,396.46057,20.296997,50.210358
0,5,932.6499,393.83124,22.447998,51.116455
0,6,952.845,1042.8591,32.877686,73.78021
0,7,982.0695,638.2417,24.284912,61.36505
0,8,592.1864,1058.1775,31.266174,42.732056
0,9,785.2563,381.8663,20.830078,50.37726
0,10,1152.6946,545.03876,23.240845,57.79712
0,11,283.10498,622.7979,25.62033,66.05603
0,12,686.2917,524.6354,19.842041,59.598633
0,13,1219.2739,475.39005,17.467163,54.022522
0,14,1386.4636,456.36517,16.833252,59.747406
0,15,962.0564,284.96597,19.2193,46.558167
0,16,649.91504,313.83606,14.71051,46.072723
0,17,931.12317,481.88052,20.013428,60.64215
0,18,1346.2692,355.8978,20.623535,48.90161
0,19,1484.371,557.7402,23.268799,60.461426
0,20,355.92102,465.12497,17.995148,61.1651
0,21,728.019,465.31567,21.393066,61.385925
0,22,898.7611,359.28696,14.742554,46.821655
0,23,501.80942,365.6223,18.96643,53.194427
0,24,1750.2477,1038.654,34.880127,82.691895
0,25,904.695,593.1041,18.414185,62.648987
1,1,997.256,1049.65,32.761047,60.69995
1,2,474.88953,788.4193,29.446716,70.14667
1,3,1441.6506,805.22125,25.305664,57.829346
1,4,1117.9685,395.8128,20.608032,51.023163
1,5,932.44,393.07455,22.435303,51.133606
1,6,953.06287,1042.2318,33.531006,75.26611
1,7,980.69574,637.4486,23.94165,60.325684
1,8,592.317,1057.8579,31.790405,43.451538
1,9,785.27325,381.0951,20.724976,50.122864
1,10,1152.8047,544.4957,23.453003,58.388
1,11,283.7964,622.1704,25.710938,66.22186
1,12,686.5833,523.6981,20.006836,60.115356
1,13,1218.7847,474.50848,17.645874,54.587555
1,14,1386.4467,455.55383,16.889648,59.922577
1,15,962.10254,284.58777,19.434998,47.115875
1,16,650.85046,312.49603,14.578918,45.628143
1,17,931.23773,480.83752,19.911255,60.32086
1,18,1346.2137,354.63184,20.952393,49.707
1,19,1483.8118,557.1017,23.621094,61.305664
1,20,354.95178,463.05988,17.061615,57.893158
1,21,728.47296,464.62744,21.293823,61.12198
1,22,899.1904,358.56384,14.845581,47.11612
1,23,502.187,364.81885,18.718231,52.47043
1,24,1751.5732,1038.4541,35.017822,83.091675
1,25,904.8512,591.9015,18.084473,61.52655
2,1,997.1178,1049.299,33.112244,61.40216
2,2,475.57513,786.6615,29.056305,69.1286
2,3,1443.4392,806.09534,24.357178,55.15393
2,4,1118.2041,395.22272,20.43982,50.687195
2,5,932.3019,392.878,22.386292,51.12976
2,6,953.10596,1042.0018,33.815247,75.94751
2,7,979.3679,637.21967,23.753357,59.50354
2,8,592.06445,1057.6396,32.03894,43.83252
2,9,785.07056,379.85095,20.538147,49.651703
2,10,1152.7732,543.7626,23.220703,57.859314
2,11,284.85876,621.7512,25.977081,66.68738
2,12,686.3589,523.63214,19.94458,60.076385
2,13,1218.3497,474.3269,17.920898,55.441437
2,14,1386.2458,454.62674,16.85144,59.688293
2,15,962.02765,284.3432,19.536865,47.43228
2,16,651.39606,311.9431,14.552246,45.522736
2,17,931.45496,480.59042,20.059937,60.698425
2,18,1346.0487,354.05176,20.96289,49.76297
2,19,1482.8892,556.7601,23.714844,61.308594
2,20,354.1364,462.47064,17.024994,57.525543
2,21,728.424,463.8108,21.16809,60.694244
2,22,900.3415,358.38916,15.076294,47.36557
2,23,502.10706,363.9047,18.732086,52.511658
2,24,1752.8445,1038.0294,35.09729,83.41876
2,25,905.2171,591.411,17.790161,60.48358
3,1,996.9659,1048.798,33.60547,62.404114
3,2,475.82663,785.2958,28.570312,67.808716
3,3,1445.7861,806.7705,24.18396,53.653748
3,4,1118.1633,394.5254,20.275269,50.324097
3,5,931.95966,392.51978,22.263428,50.985138
3,6,953.3058,1041.5988,34.18451,76.80243
3,7,978.5515,636.4977,24.186096,60.098083
3,8,592.0299,1057.3735,32.483704,44.51709
3,9,784.8174,379.05783,20.62555,49.802795
3,10,1152.1771,542.9205,23.213379,57.933228
3,11,285.07825,621.2802,26.12204,66.79358
3,12,686.3213,523.08453,19.759705,59.636597
3,13,1217.871,473.4209,17.64502,54.592926
3,14,1386.0092,453.61884,17.011963,60.186646
3,15,962.0989,284.00854,19.475159,47.370575
3,16,651.9319,311.0359,14.51532,45.292786
3,17,931.5353,480.02435,19.947449,60.166595
3,18,1345.9432,353.7127,20.899658,49.69632
3,19,1482.0312,556.29346,24.108398,61.981262
3,20,353.33746,461.61044,17.355469,58.151855
3,21,728.53064,463.0647,21.210266,60.840393
3,22,900.844,357.56842,15.008728,46.46295
3,23,502.32605,362.9405,18.720428,52.408844
3,24,1752.9899,1037.3751,35.716553,85.07355
3,25,905.60583,590.58435,17.813904,60.4317
4,1,997.01196,1048.1802,34.199036,63.63965
4,2,475.9944,783.6078,28.14151,66.57825
4,3,1448.8121,810.6605,27.55249,59.901062
4,4,1118.4786,393.77615,20.372314,50.717407
4,5,931.9875,391.93396,22.151733,50.877716
4,6,953.39136,1041.0793,34.58612,77.84131
4,7,978.2344,635.4133,24.375671,60.047546
4,8,592.12915,1056.865,33.176086,45.598633
4,9,784.4746,377.83234,20.869812,50.28186
4,10,1152.6824,542.4392,23.40979,58.555115
4,11,284.80325,620.0477,26.180176,66.78406
4,12,686.66284,522.12976,19.598389,59.273956
4,13,1217.306,472.62015,17.65332,54.716003
4,14,1385.9445,452.32074,16.996826,60.011536
4,15,962.4352,283.0645,19.372314,47.272644
4,16,652.65485,309.5833,14.453735,44.809418
4,17,931.9066,478.7309,19.643738,58.96927
4,18,1345.8339,352.5017,21.009521,50.11496
4,19,1481.5979,555.2773,23.91565,60.969604
4,20,352.64502,461.11902,17.598145,58.179993
4,21,728.6904,462.02307,20.994812,60.27588
4,22,901.26764,356.45172,15.410156,46.794403
4,23,502.4373,361.56958,18.725464,52.416656
4,24,1753.0419,1036.5587,36.056396,86.034485
4,25,905.94025,589.0634,18.017822,60.894287
5,1,997.0472,1047.6404,34.666504,64.71912
5,2,476.4265,782.02026,28.453735,67.069214
5,3,1453.8516,815.0248,29.680298,63.860413
5,4,1118.4568,392.78485,20.319214,50.700653
5,5,931.98694,391.8006,21.664734,49.620758
5,6,953.31744,1040.5471,34.958008,78.90582
5,7,977.5302,634.697,24.334106,59.51129
5,8,592.1617,1056.3254,33.80652,46.643433
5,9,784.149,377.04382,21.071167,50.40625
5,10,1151.924,541.8491,23.290283,58.55127
5,11,284.78333,619.37085,26.131348,66.502625
